File Name;Size;Permission;Type;UID;Owner;Group;Last Access;Last Modif;Last Status
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMPv2-TM.txt;3981;;{DBFF7E81-A843-E8C2-FB22-8F45-8F45FB22};-1;-1; 18:12:37 09/11/2009; 07:44:06 27/05/2000; 07:44:06 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/TCP-MIB.txt;10765;;{C8D27CDE-0C58-AF9D-B6A8-55D3-55D3B6A8};-1;-1; 18:12:37 09/11/2009; 07:44:06 27/05/2000; 07:44:06 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/UCD-DEMO-MIB.txt;2163;;{CEAAF263-16D3-3EA1-FFAF-34B1-34B1FFAF};-1;-1; 18:12:37 09/11/2009; 00:50:58 14/02/2002; 00:50:58 14/02/2002
z://Arquivos de programas/OpenSTA/Engines/Mibs/UCD-DISKIO-MIB.txt;3198;;{ED29AA04-1B08-F04E-5BDB-E086-E0865BDB};-1;-1; 18:12:37 09/11/2009; 00:50:58 14/02/2002; 00:50:58 14/02/2002
z://Arquivos de programas/OpenSTA/Engines/Mibs/UCD-DLMOD-MIB.txt;3010;;{F3394743-3527-43ED-8867-1107-11078867};-1;-1; 18:12:37 09/11/2009; 00:50:58 14/02/2002; 00:50:58 14/02/2002
z://Arquivos de programas/OpenSTA/Engines/Mibs/UCD-IPFILTER-MIB.txt;6399;;{8C348822-76B0-8EAF-62BE-E824-E82462BE};-1;-1; 18:12:37 09/11/2009; 00:50:58 14/02/2002; 00:50:58 14/02/2002
z://Arquivos de programas/OpenSTA/Engines/Mibs/UCD-IPFWACC-MIB.txt;8118;;{26F9B738-5839-5CDD-C8B4-4418-4418C8B4};-1;-1; 18:12:37 09/11/2009; 00:50:58 14/02/2002; 00:50:58 14/02/2002
z://Arquivos de programas/OpenSTA/Engines/Mibs/UCD-SNMP-MIB-OLD.txt;18274;;{0DD741BB-5FD8-3D30-F230-8DD4-8DD4F230};-1;-1; 18:12:37 09/11/2009; 23:30:12 06/09/1998; 23:30:12 06/09/1998
z://Arquivos de programas/OpenSTA/Engines/Mibs/UCD-SNMP-MIB.txt;34341;;{4C05BF4A-EAC9-5BAE-0B94-270E-270E0B94};-1;-1; 18:12:37 09/11/2009; 23:39:14 06/08/2002; 23:39:14 06/08/2002
z://Arquivos de programas/OpenSTA/Engines/Mibs/UDP-MIB.txt;4076;;{41EAB8F1-504C-586F-3604-8B31-8B313604};-1;-1; 18:12:37 09/11/2009; 07:44:06 27/05/2000; 07:44:06 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Msglib.dll;65536;;{06AFD9A5-AA05-57A2-3F8F-7D79-7D793F8F};-1;-1; 18:12:37 09/11/2009; 01:39:14 30/07/2007; 01:39:14 30/07/2007
